ISO3,Country,GDP_1998,GDP_1999,GDP_2000,GDP_2001,GDP_2002,GDP_2003,GDP_2004,GDP_2005,GDP_2006,GDP_2007,GDP_2008,GDP_2009,GDP_2010,GDP_2011,GDP_2012,GDP_2013,GDP_2014,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020,GDP_2021
MAC,Macao,0,0,0,15723.751,16733.977,18461.835,23005.586,25109.973,28970.428,34268.703,38286.226,39822.349,51135.159,66111.715,74209.139,84833.692,86298.091,69647.776,69887.828,77145.531,82695.455,81051.047,37100.934,45329.598
MNE,Montenegro,0,0,1596.76,1893.751,2080.95,2745.906,3379.902,3680.063,4429.624,5984.697,7397.037,6746.443,6693.865,7327.501,6594.799,7199.165,7405.96,6534.484,7049.664,7820.079,8872.635,8924.593,7689.836,9438.79
TUV,Tuvalu,0,0,0,0,1741.529,2075.674,2385.564,2348.707,2464.219,2865.977,3186.846,2759.034,3133.042,3777.342,3609.113,3615.373,3583.652,3396.69,3798.272,4255.25,4498.998,5046.827,4820.26,5571.914
IRQ,Iraq,0,0,0,0,0,608.655,1373.738,1828.738,2321.258,3090.851,4472.118,3701.862,4473.71,5848.537,6692.576,7021.406,6704.313,5044.624,4639.496,5178.921,5959.102,5945.438,4520.087,5011.973
SSD,South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,1659.546,1041.463,1337.232,1316.271,1289.835,237.024,143.342,240.32,302.262,393.589,418.969
AFG,Afghanistan,0,0,0,0,233.433,233.755,254.259,294.396,320.674,381.502,447.746,511.374,631.49,714.7,784.611,754.402,746.922,705.597,617.126,635.789,580.253,586.204,611.268,423.993
TLS,Timor-Leste,0,0,420.946,539.594,520.99,534.192,471.231,483.242,462.124,538.952,628.632,689.276,819.147,947.257,1031,1213.652,1233.58,1332.672,1358.283,1309.352,1264.501,1611.123,1676.769,2764.355
SMR,San Marino,0,0,0,0,0,0,59313.405,61150.61,64498.508,72991.531,79110.201,67011.543,60426.235,57512.891,50336.185,51986.532,51234.869,43068.693,44308.666,45887.687,49477.281,48043.86,45640.984,54733.239
PLW,Palau,0,0,7900.288,8304.592,8404.127,7923.588,8462.146,9327.328,9678.117,10136.305,10498.22,9882.582,10080.443,10885.959,12294.283,13004.425,14149.356,16037.963,17161.725,16383.831,16289.539,15876.323,14624.096,13165.721
LBR,Liberia,0,0,303.143,305.909,311.768,231.891,286.104,293.471,333.151,388.154,464.437,470.218,505.363,582.614,646.662,716.576,708.816,691.369,709.824,706.239,677.356,623.887,600.475,677.387
AND,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,49030.229,51957.313,45713.97,45630.195,46299.282,38877.485,39595.317,40017.741,42229.903,40688.491,36973.845,41806.876
