ISO3,Country ,Year,ECI_Score,Year_Ranking,Country_x,GDP,Country_y,HDI
MAR,Morocco,1998,-1.0313,75,Morocco,1644.073,Morocco,0.501
MAR,Morocco,1999,-0.9608,78,Morocco,1614.86,Morocco,0.511
MAR,Morocco,2000,-0.82539,78,Morocco,1486.875,Morocco,0.521
MAR,Morocco,2001,-0.78178,82,Morocco,1489.702,Morocco,0.532
MAR,Morocco,2002,-0.92086,85,Morocco,1573.475,Morocco,0.542
MAR,Morocco,2003,-0.95251,87,Morocco,1914.006,Morocco,0.552
MAR,Morocco,2004,-0.85233,85,Morocco,2163.48,Morocco,0.56
MAR,Morocco,2005,-0.8839,86,Morocco,2232.944,Morocco,0.567
MAR,Morocco,2006,-0.80387,86,Morocco,2427.109,Morocco,0.573
MAR,Morocco,2007,-0.67222,89,Morocco,2759.516,Morocco,0.581
MAR,Morocco,2008,-0.66135,92,Morocco,3189.2,Morocco,0.588
MAR,Morocco,2009,-0.6178,87,Morocco,3162.86,Morocco,0.594
MAR,Morocco,2010,-0.67464,91,Morocco,3134.698,Morocco,0.603
MAR,Morocco,2011,-0.69663,92,Morocco,3367.347,Morocco,0.614
MAR,Morocco,2012,-0.70124,94,Morocco,3224.712,Morocco,0.624
MAR,Morocco,2013,-0.69384,95,Morocco,3463.601,Morocco,0.635
MAR,Morocco,2014,-0.60293,96,Morocco,3527.712,Morocco,0.644
MAR,Morocco,2015,-0.69246,99,Morocco,3235.57,Morocco,0.654
MAR,Morocco,2016,-0.75541,98,Morocco,3235.218,Morocco,0.661
MAR,Morocco,2017,-0.7215,94,Morocco,3401.256,Morocco,0.67
MAR,Morocco,2018,-0.65673,93,Morocco,3615.592,Morocco,0.676
MAR,Morocco,2019,-0.54336,86,Morocco,3622.679,Morocco,0.682
MAR,Morocco,2020,-0.49935,83,Morocco,3375.435,Morocco,0.679
MAR,Morocco,2021,-0.29567,76,Morocco,3905.428,Morocco,0.683
TUN,Tunisia,1998,-0.87525,70,Tunisia,2407.491,Tunisia,0.639
TUN,Tunisia,1999,-0.72713,69,Tunisia,2505.878,Tunisia,0.65
TUN,Tunisia,2000,-0.57403,70,Tunisia,2322.277,Tunisia,0.658
TUN,Tunisia,2001,-0.37429,67,Tunisia,2365.245,Tunisia,0.665
TUN,Tunisia,2002,-0.36273,61,Tunisia,2460.779,Tunisia,0.67
TUN,Tunisia,2003,-0.40704,63,Tunisia,2897.197,Tunisia,0.677
TUN,Tunisia,2004,-0.3342,61,Tunisia,3265.224,Tunisia,0.687
TUN,Tunisia,2005,-0.31239,63,Tunisia,3350.785,Tunisia,0.694
TUN,Tunisia,2006,-0.31743,66,Tunisia,3536.507,Tunisia,0.7
TUN,Tunisia,2007,-0.17893,66,Tunisia,3963.791,Tunisia,0.706
TUN,Tunisia,2008,-0.1378,64,Tunisia,4519.745,Tunisia,0.711
TUN,Tunisia,2009,-0.10037,63,Tunisia,4333.153,Tunisia,0.715
TUN,Tunisia,2010,-0.08765,64,Tunisia,4343.057,Tunisia,0.72
TUN,Tunisia,2011,-0.03687,62,Tunisia,4471.694,Tunisia,0.722
TUN,Tunisia,2012,-0.06177,62,Tunisia,4345.815,Tunisia,0.724
TUN,Tunisia,2013,-0.02787,65,Tunisia,4419.705,Tunisia,0.727
TUN,Tunisia,2014,0.01936,62,Tunisia,4511.282,Tunisia,0.73
TUN,Tunisia,2015,-0.01276,63,Tunisia,4060.695,Tunisia,0.733
TUN,Tunisia,2016,-0.04008,62,Tunisia,3890.127,Tunisia,0.737
TUN,Tunisia,2017,0.00822,58,Tunisia,3656.508,Tunisia,0.74
TUN,Tunisia,2018,0.06142,58,Tunisia,3661.194,Tunisia,0.743
TUN,Tunisia,2019,0.09234,56,Tunisia,3556.377,Tunisia,0.745
TUN,Tunisia,2020,0.09329,55,Tunisia,3573.836,Tunisia,0.737
TUN,Tunisia,2021,0.21861,52,Tunisia,3884.708,Tunisia,0.731
