ISO3,Country ,Year,ECI_Score,Year_Ranking
MAR,Morocco,1998,-1.0313,75
MAR,Morocco,1999,-0.9608,78
MAR,Morocco,2000,-0.82539,78
MAR,Morocco,2001,-0.78178,82
MAR,Morocco,2002,-0.92086,85
MAR,Morocco,2003,-0.95251,87
MAR,Morocco,2004,-0.85233,85
MAR,Morocco,2005,-0.8839,86
MAR,Morocco,2006,-0.80387,86
MAR,Morocco,2007,-0.67222,89
MAR,Morocco,2008,-0.66135,92
MAR,Morocco,2009,-0.6178,87
MAR,Morocco,2010,-0.67464,91
MAR,Morocco,2011,-0.69663,92
MAR,Morocco,2012,-0.70124,94
MAR,Morocco,2013,-0.69384,95
MAR,Morocco,2014,-0.60293,96
MAR,Morocco,2015,-0.69246,99
MAR,Morocco,2016,-0.75541,98
MAR,Morocco,2017,-0.7215,94
MAR,Morocco,2018,-0.65673,93
MAR,Morocco,2019,-0.54336,86
MAR,Morocco,2020,-0.49935,83
MAR,Morocco,2021,-0.29567,76
TUN,Tunisia,1998,-0.87525,70
TUN,Tunisia,1999,-0.72713,69
TUN,Tunisia,2000,-0.57403,70
TUN,Tunisia,2001,-0.37429,67
TUN,Tunisia,2002,-0.36273,61
TUN,Tunisia,2003,-0.40704,63
TUN,Tunisia,2004,-0.3342,61
TUN,Tunisia,2005,-0.31239,63
TUN,Tunisia,2006,-0.31743,66
TUN,Tunisia,2007,-0.17893,66
TUN,Tunisia,2008,-0.1378,64
TUN,Tunisia,2009,-0.10037,63
TUN,Tunisia,2010,-0.08765,64
TUN,Tunisia,2011,-0.03687,62
TUN,Tunisia,2012,-0.06177,62
TUN,Tunisia,2013,-0.02787,65
TUN,Tunisia,2014,0.01936,62
TUN,Tunisia,2015,-0.01276,63
TUN,Tunisia,2016,-0.04008,62
TUN,Tunisia,2017,0.00822,58
TUN,Tunisia,2018,0.06142,58
TUN,Tunisia,2019,0.09234,56
TUN,Tunisia,2020,0.09329,55
TUN,Tunisia,2021,0.21861,52
