ISO3,Country,Year,HDI
MAR,Morocco,1998,0.501
TUN,Tunisia,1998,0.639
MAR,Morocco,1999,0.511
TUN,Tunisia,1999,0.65
MAR,Morocco,2000,0.521
TUN,Tunisia,2000,0.658
MAR,Morocco,2001,0.532
TUN,Tunisia,2001,0.665
MAR,Morocco,2002,0.542
TUN,Tunisia,2002,0.67
MAR,Morocco,2003,0.552
TUN,Tunisia,2003,0.677
MAR,Morocco,2004,0.56
TUN,Tunisia,2004,0.687
MAR,Morocco,2005,0.567
TUN,Tunisia,2005,0.694
MAR,Morocco,2006,0.573
TUN,Tunisia,2006,0.7
MAR,Morocco,2007,0.581
TUN,Tunisia,2007,0.706
MAR,Morocco,2008,0.588
TUN,Tunisia,2008,0.711
MAR,Morocco,2009,0.594
TUN,Tunisia,2009,0.715
MAR,Morocco,2010,0.603
TUN,Tunisia,2010,0.72
MAR,Morocco,2011,0.614
TUN,Tunisia,2011,0.722
MAR,Morocco,2012,0.624
TUN,Tunisia,2012,0.724
MAR,Morocco,2013,0.635
TUN,Tunisia,2013,0.727
MAR,Morocco,2014,0.644
TUN,Tunisia,2014,0.73
MAR,Morocco,2015,0.654
TUN,Tunisia,2015,0.733
MAR,Morocco,2016,0.661
TUN,Tunisia,2016,0.737
MAR,Morocco,2017,0.67
TUN,Tunisia,2017,0.74
MAR,Morocco,2018,0.676
TUN,Tunisia,2018,0.743
MAR,Morocco,2019,0.682
TUN,Tunisia,2019,0.745
MAR,Morocco,2020,0.679
TUN,Tunisia,2020,0.737
MAR,Morocco,2021,0.683
TUN,Tunisia,2021,0.731
