ISO3,variable,value,rn
SWE,1998,1.74179,1
DEU,1998,1.72571,2
CHE,1998,1.71001,3
JPN,1998,1.70452,4
USA,1998,1.66236,5
GBR,1998,1.61144,6
FIN,1998,1.58572,7
FRA,1998,1.41497,8
AUT,1998,1.40227,9
IRL,1998,1.36935,10
NLD,1998,1.24193,11
CAN,1998,1.1612,12
DNK,1998,1.12812,13
ITA,1998,1.12517,14
NOR,1998,1.05778,15
ISR,1998,1.04529,16
CZE,1998,0.99384,17
SVN,1998,0.97099,18
ESP,1998,0.93675,19
NZL,1998,0.78209,20
SVK,1998,0.7375,21
RUS,1998,0.70816,22
BLR,1998,0.69806,23
BRA,1998,0.68257,24
UKR,1998,0.67181,25
SGP,1998,0.61439,26
AUS,1998,0.61068,27
HUN,1998,0.57209,28
TWN,1998,0.55141,29
POL,1998,0.52941,30
ZAF,1998,0.51903,31
KOR,1998,0.4723,32
MEX,1998,0.41558,33
HRV,1998,0.35739,34
ARG,1998,0.34638,35
URY,1998,0.33951,36
KAZ,1998,0.31299,37
JOR,1998,0.29914,38
SAU,1998,0.28963,39
CHL,1998,0.27947,40
GRC,1998,0.13995,41
VEN,1998,0.10427,42
BGR,1998,0.09695,43
ROU,1998,0.08018,44
LTU,1998,0.06275,45
PRT,1998,0.02505,46
COD,1998,0.0,47
TCD,1998,0.0,48
CUB,1998,0.0,49
LAO,1998,0.0,50
MLI,1998,0.0,51
TGO,1998,0.0,52
BEN,1998,0.0,53
COG,1998,0.0,54
NER,1998,0.0,55
SDN,1998,0.0,56
YEM,1998,0.0,57
GIN,1998,0.0,58
MWI,1998,0.0,59
RWA,1998,0.0,60
SRB,1998,0.0,61
UGA,1998,0.0,62
ZMB,1998,0.0,63
ALB,1998,0.0,64
ARM,1998,0.0,65
BEL,1998,0.0,66
BOL,1998,0.0,67
GEO,1998,0.0,68
LBN,1998,0.0,69
LBR,1998,0.0,70
MDA,1998,0.0,71
MMR,1998,0.0,72
NAM,1998,0.0,73
SEN,1998,0.0,74
BWA,1998,0.0,75
KHM,1998,0.0,76
